stream,date,sample_btc,a_PO4,a_HPO4,a_H2PO4
CB,20231008,23,4.312306438184136e-12,3.9042362704095595e-7,2.693731359086075e-7
CB,20231008,24,4.195966959148265e-12,3.7989059048050916e-7,2.621058577716993e-7
CB,20231008,25,2.5141218292170132e-12,2.2762124571997677e-7,1.5704748512205644e-7
CB,20231008,26,2.4871273738264143e-12,2.2517724658988878e-7,1.5536124570355832e-7
CB,20231008,27,1.802485497406176e-12,1.6319177119573472e-7,1.1259431068413233e-7
CB,20231008,28,1.1701479739841768e-12,1.0594177912131501e-7,7.309462668009107e-8
CB,20231008,29,4.4488367620407565e-13,4.0278468370640404e-8,2.7790165817646538e-8
CB,20231008,30,1.0756448829338005e-12,9.73857453367568e-8,6.719138340315532e-8
CB,20231008,31,1.2276942547521948e-12,1.111518512676782e-7,7.668932068724648e-8
CC,20231006,3,4.053666813353202e-12,4.1911452804544333e-7,3.2606086007226847e-7
CC,20231006,4,4.013400113753119e-12,4.1495129520567366e-7,3.2282196666824527e-7
CC,20231006,5,8.293699378045648e-12,8.574976831174305e-7,6.671122410648856e-7
CC,20231006,6,9.32696547744652e-12,9.643285731573366e-7,7.502240626739891e-7
CC,20231006,7,8.614489844353602e-12,8.906646776136853e-7,6.929153522142243e-7
CC,20231006,8,1.197049194085506e-11,1.2376466323617707e-6,9.628588331103362e-7
CC,20231006,9,8.869385508616828e-12,9.170187123549245e-7,7.134181471762047e-7
CC,20231006,10,4.961690325212802e-12,5.129964041714186e-7,3.990986653175066e-7
CC,20231006,11,3.026372038020232e-12,3.1290102191589736e-7,2.434293480571653e-7
CC,20231006,12,3.2197969954161346e-12,3.328995105593522e-7,2.5898768347836866e-7
CC,20231006,13,1.5759499130455926e-12,1.6293976156441705e-7,1.26763152409509e-7
CC,20231006,14,1.6601329410599658e-12,1.7164356769358797e-7,1.3353450086553776e-7
CC,20231006,15,1.825641250219587e-12,1.8875571333233009e-7,1.4684733196846076e-7
CC,20231006,16,1.7795748517346953e-12,1.839928411603624e-7,1.4314193381858314e-7
CC,20231006,17,1.1627420239049465e-12,1.2021759484085753e-7,9.35263507863401e-8
CC,20231006,18,1.7284356101119255e-12,1.7870548033269782e-7,1.3902849631256142e-7
CC,20231006,19,1.1600909897771017e-12,1.199435005532698e-7,9.331311212919181e-8
CC,20231006,20,9.9670692347576275e-13,1.030509834839189e-7,8.017114668574858e-8
CC,20231006,21,1.3805968155354174e-12,1.4274191970048181e-7,1.1104972505476886e-7
CD,20231009,3,1.0854693770896734e-11,1.0888000059907998e-7,8.125199187195265e-9
